PHYSICAL LEVEL PARAMETERS (BOUNDARY CONDITION SET TO SHIFT AT E_LEVEL)

J = 0.0-  E_level =  25.0000 MeV  ITERATIONS =     0
  R =  6  l =   3  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  7  l =   2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  8  l =   1  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  M1  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  E2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 

J = 2.0-  E_level =  13.0570 MeV  ITERATIONS =     0
  R =  1  l =   1  s =  1.0  G  =    13.077300 meV        g_int =    -0.069385 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  1  l =   3  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   2  s =  0.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   2  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   1  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   3  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   1  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   3  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   5  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
