Run Number,Scan,Energy,Yield,Yield Error
1889,Scan 5,218.0891809,0.34344951008266345,0.011773297575955992
1893,Scan 6,221.0313355,0.6193236732994898,0.007665272667809729
1894,Scan 6,219.0258628,0.4342480218891006,0.006837915627955288
1895,Scan 6,223.0268752,1.075814873066721,0.012150090498484901
1896,Scan 6,225.0055288,3.5265711130989663,0.025935578205852173
1897,Scan 6,226.0057819,9.349072171209327,0.043931106968975245
1898,Scan 6,226.9980886,21.953088531711597,0.06811392856222166
1899,Scan 6,228.0072814,31.580661425201267,0.08564359357292348
1900,Scan 6,229.0144876,33.93722910245486,0.08945264244214728
1901,Scan 6,230.0077876,33.43767447086735,0.08528576081816121
1902,Scan 6,231.9884278,28.147560102766562,0.03955424042689215
1903,Scan 6,233.9819809,19.866592763714817,0.049181967028633436
1904,Scan 6,235.9894402,14.263479311084302,0.043627567690810914
1905,Scan 6,237.9730603,10.06780608405564,0.030529957487583543
1906,Scan 6,237.9859732,10.2873283397969,0.041593236138173055
1907,Scan 6,239.9815129,8.408087440094755,0.025439254843055113
1908,Scan 6,241.9740727,7.954983635777502,0.043625806202081695
1909,Scan 6,243.961666,6.171647505296455,0.03411155945887073
1910,Scan 6,245.9492593,4.571536450928841,0.02761363081192782
1911,Scan 6,248.9430655,2.9582244598220453,0.021981630756183673
1912,Scan 6,251.9239588,2.1776796923391712,0.02758103771998089
1913,Scan 6,254.9058454,1.8343935439509644,0.024337732792391667
1914,Scan 6,231.0169804,30.521347280908707,0.09324375885247808
1918,Scan 7,217.7137135,0.36020070154072614,0.006151213652079965
1919,Scan 7,220.708513,0.5625684186224759,0.009274926020507715
1920,Scan 7,222.6961063,0.9358569126985087,0.014958878748412417
1921,Scan 7,224.6836996,2.475224097130391,0.023264370783872907
1922,Scan 7,225.6442207,5.853759250115072,0.04021326897102376
1923,Scan 7,226.6375207,16.00998466491489,0.04366269242825183
1924,Scan 7,227.6397604,28.098115268219786,0.09002939571694447
1925,Scan 7,228.6400135,33.43679903391304,0.0916672053777155
1926,Scan 7,229.6343068,33.785324910552454,0.08952684549611731
1927,Scan 7,230.6405197,33.03707105721432,0.09287333788947105
1928,Scan 7,231.634813,29.881361598097975,0.0934404127783591
1929,Scan 7,232.628113,25.74117413564706,0.07674091979222836
1930,Scan 7,234.6157063,17.81430063645739,0.05995668531363276
1931,Scan 7,236.6231656,12.573588334023306,0.04290227786767599
1932,Scan 7,238.6107589,8.63886534510495,0.03678878523797379
1933,Scan 7,239.611012,8.065832496535451,0.03655953639370194
1934,Scan 7,240.604312,8.049956299550102,0.04219323562546228
1935,Scan 7,241.597612,7.916726892003959,0.03807042764299279
1936,Scan 7,242.5988584,7.22461460454162,0.03867358348397679
1937,Scan 7,244.5794986,5.6791069421289055,0.03332072586466757
1938,Scan 7,246.5700718,4.043466923474503,0.027893940139458697
1939,Scan 7,248.5576651,3.0305829134268287,0.021000190689291043
